Match ID,Radiant 1,Radiant 2,Radiant 3,Radiant 4,Radiant 5,Dire 1,Dire 2,Dire 3,Dire 4,Dire 5,Wins,
2671496939,Juggernaut,Invoker,Axe,Bloodseeker,Lion,Slark,Lina,Lone Druid,Sand King,Disruptor,Radiant,
2671488705,Drow Ranger,Windranger,Axe,Oracle,Pudge,Sven,Kunkka,Phantom Assassin,Magnus,Shadow Demon,Dire,
2671480139,Lifestealer,Invoker,Nyx Assassin,Crystal Maiden,Elder Titan,Morphling,Outworld Devourer,Bounty Hunter,Earthshaker,Skywrath Mage,Radiant,
2671500938,Huskar,Outworld Devourer,Nyx Assassin,Dazzle,Lion,Razor,Storm Spirit,Bounty Hunter,Mirana,Disruptor,Radiant,
2671474480,Anti-Mage,Invoker,Dark Seer,Ancient Apparition,Pudge,Bloodseeker,Tinker,Sand King,Lina,Necrophos,Dire,
2673459239,Faceless Void,Ember Spirit,Timbersaw,Pudge,Venomancer,Anti-Mage,Invoker,Omniknight,Legion Commander,Earthshaker,Radiant,
2673444041,Huskar,Mirana,Underlord,Juggernaut,Warlock,Luna,Outworld Devourer,Faceless Void,Sand King,Disruptor,Dire,
2673440668,Clinkz,Outworld Devourer,Faceless Void,Pudge,Ogre Magi,Morphling,Puck,Undying,Keeper of the Light,Riki,Dire,
2673431800,Morphling ,Invoker,Queen of Pain,Medusa,Witch Doctor,Anti-Mage,Tiny,Nyx Assassin,Vengeful Spirit,Lion,Dire,
2673431588,Dragon Knight,Tinker,Morphling,Legion Commander,Dazzle,Anti-Mage,Mirana,Timbersaw,Sand King,Naga Siren,Dire,
2673461389,Slark,Meepo,Broodmother,Oracle,Ogre Magi,Drow Ranger,Huskar,Pudge,Ursa,Dazzle,Dire,
2673452956,Slark,Invoker,Faceless Void,Keeper of the Light,Omniknight,Arc Warden,Drow Ranger,Riki,Pudge,Lion,Dire,
2673459701,Anti-Mage,Meepo,Night Stalker,Crystal Maiden,Mirana,Phantom Assassin,Sniper,Nature's Prophet,Disruptor,Treant Protector,Dire,
2673443298,Juggernaut,Phantom Assassin,Earthshaker,Pudge,Ogre Magi,Phantom Lancer,Outworld Devourer,Queen of Pain,Batrider,Underlord,Dire,
2673448883,Faceless Void,Magnus,Legion Commander,Lion,Elder Titan,Ursa,Bloodseeker,Slardar,Io,Bane,Radiant,
2673445405,Slark,Lina,Magnus,Pugna,Riki,Outworld Devourer,Zeus,Phoenix,Pudge,Warlock,Radiant,
2673453487,Terrorblade,Invoker,Faceless Void,Crystal Maiden,Night Stalker,Huskar,Tinker,Nature's Prophet,Treant Protector,Lion,Dire,
2673435220,Morphling ,Phantom Assassin,Magnus,Shadow Demon,Kunkka,Juggernaut,Tinker,Sand King,Pudge,Lich,Dire,
2673437188,Phantom Lancer,Mirana,Pudge,Kunkka,Bounty Hunter,Sniper,Storm Spirit,Drow Ranger,Faceless Void,Underlord,Dire,
2673440717,Slark,Puck,Ursa,Lycan,Bloodseeker,Sniper,Invoker,Drow Ranger,Axe,Lion,Radiant,
2673437725,Bloodseeker,Storm Spirit,Drow Ranger,Juggernaut,Abaddon,Medusa,Mirana,Slark,Pudge,Ancient Apparition,Dire,
2673446162,Juggernaut,Invoker,Faceless Void,Necrophos,Skywrath Mage,Anti-Mage,Mirana,Magnus,Bloodseeker,Warlock,Dire,
2673451245,Anti-Mage,Sniper,Phoenix,Meepo,Rubick,Clinkz,Phantom Assassin,Bloodseeker,Kunkka,Enigma,Dire,
2673461059,Anti-Mage,Shadow Fiend,Faceless Void,Riki,Lion,Luna,Morphling,Phantom Assassin,Slardar,Drow Ranger,Dire,
2673429346,Morphling ,Zeus,Slardar,Lich,Keeper of the Light,Drow Ranger,Tinker,Faceless Void,Mirana,Ogre Magi,Radiant,
2673461928,Ursa,Ember Spirit,Axe,Dazzle,Treant Protector,Morphling,Templar Assassin,Tidehunter,Bloodseeker,Lion,Radiant,
2673421556,Anti-Mage,Puck,Magnus,Legion Commander,Lion,Slark,Phantom Assassin,Sand King,Pugna,Disruptor,Radiant,
2673433104,Drow Ranger,Templar Assassin,Nyx Assassin,Shadow Shaman,Riki,Spectre,Clinkz,Faceless Void,Keeper of the Light,Pudge,Dire,
2673444445,Wraith King,Invoker,Weaver,Bloodseeker,Dazzle,Chaos Knight,Tinker,Faceless Void,Legion Commander,Necrophos,Radiant,
2673449443,Morphling ,Storm Spirit,Sand King,Wraith King,Pudge,Phantom Lancer,Shadow Fiend,Faceless Void,Mirana,Ancient Apparition,Dire,
2673442323,Luna,Invoker,Magnus,Kunkka,Vengeful Spirit,Slark,Storm Spirit,Windranger,Shadow Demon,Pudge,Dire,
2673430920,Sniper,Storm Spirit,Faceless Void,Pudge,Lion,Drow Ranger,Mirana,Tiny,Warlock,Vengeful Spirit,Dire,
2673450438,Anti-Mage,Juggernaut,Sand King,Pudge,Rubick,Slark,Storm Spirit,Phoenix,Omniknight,Lion,Dire,
2673427307,Juggernaut,Tinker,Timbersaw,Mirana,Oracle,Morphling,Storm Spirit,Phantom Assassin,Crystal Maiden,Ogre Magi,Dire,
2673458278,Slark,Kunkka,Underlord,Pudge,Witch Doctor,Anti-Mage,Sand King,Tidehunter,Earth Spirit,Shadow Demon,Radiant,
2673435935,Anti-Mage,Arc Warden,Centaur Warrunner,Vengeful Spirit,Naga Siren,Terrorblade,Phantom Assassin,Timbersaw,Legion Commander,Earthshaker,Dire,
2673453369,Morphling ,Invoker,Sand King,Bloodseeker,Shadow Demon,Gyrocopter,Arc Warden,Nyx Assassin,Riki,Ancient Apparition,Dire,
2673458041,Phantom Assassin,Tinker,Batrider,Bounty Hunter,Io,Juggernaut,Templar Assassin,Nyx Assassin,Silencer,Vengeful Spirit,Dire,
2673438101,Juggernaut,Tinker,Pugna,Enigma,Pudge,Medusa,Phantom Assassin,Tiny,Dazzle,Bane,Dire,
2673424068,Slark,Tinker,Magnus,Bloodseeker,Pudge,Juggernaut,Outworld Devourer,Ursa,Night Stalker,Sand King,Radiant,
2673450510,Anti-Mage,Storm Spirit,Undying,Nyx Assassin,Silencer,Morphling,Outworld Devourer,Axe,Pudge,Omniknight,Dire,
